benediction	n. 祝祷, 祝福
benefactor	n. 恩人, 捐助者, 赠送者
beneficiary	n. 受惠者,受益人
benevolence	n. 善意, 慈悲, 善行
amicable	adj. 友好的, 和睦的
enamored	adj. 倾心的, 被迷住的
amorous	adj. 多情的, 表示爱情的, 恋爱的
paramour	n. 奸夫(妇),情夫
antebellum	adj. 战前的(尤指美国南北战争前的）
bellicose	adj. 好战的, 好斗的
belligerence	n. 交战, 好战性, 斗争性
rebellion	n. 谋反, 叛乱, 反抗
pacify	vt. 使...平静, 安慰
pacifist	adj. 非战主义的 n. 反战，反对武力
pact	n. 契约, 协定, 条约
pace	n. 速度,步调,步法 vt. 踱步,调整节奏 vi. 缓慢地走
criminology	n. 犯罪学
decriminalize	vt. 使合法化, 使 ... 不算非法
incriminate	v. 连累,牵连 vt. 牵连,控告
recrimination	n. 反控告, 反责
approbation	n. 认可, 嘉许
probate	n. 遗嘱查验,遗嘱查讫证 v. 查验,受查验,付诸监护
probity	n. 诚实, 廉洁, 正直
reprobate	n. 堕落的人, 恶棍, 被神遗弃的人 adj. 堕落的, 邪恶的 v. 斥责, 非难
grave	adj.重大的，重要的； 严重的； [音乐]沉重的； （颜色等）朴素的 adv.沉重地，庄重地； 极慢地 n.坟墓，墓穴； 埋葬…的地方； 下场； 死亡 vt.雕刻； 铭记
gravitas	n. 庄严的举止, 庄严
gravitate	vi. 受吸引，下沉，重力吸引
aggravate	vt. 使...恶化,使...更严重 vt. [口]激怒
alleviate	vt. 减轻,使...缓和
elevation	n. 提拔，海拔,提高 [计算机] 标高
cantilever	n. 悬桁 vt. 由悬臂支撑 vi. 如悬臂向外突出
levity	n. 轻浮, 轻率
cicerone	n. 导游，引导者
hector	vt.& vi.吓唬，欺凌 n.暴徒，威吓者，作威作福的人
hedonism	n. 快乐论, 快乐主义
spartan	adj. 斯巴达的；斯巴达式的；（生活方式）简朴的，清苦的。 n. 斯巴达人；勇士
stentorian	adj. 极洪亮的, 非常响亮的
stoic	n. 坚忍克己之人, 禁欲主义者 Stoic: 斯多葛派人士 adj. 坚忍克己的，禁欲的
sybaritic	adj. 奢侈享乐的
