reputed	adj. 名誉好的,被称为...的,有...名气的
disrepute	n. 声誉坏,坏批评,不名誉
impute	vt. 归罪, 使负责, 嫁祸
putative	adj. 假定的，被公认的
physiology	n. 生理学
methodology	n. 一套方法,方法学
ideology	n. 观念学, 空论, 意识形态
cardiology	n. 心脏学
parterre	n. 花坛(正厅后座)
subterranean	adj. 地下的，隐蔽的
terrarium	n. 动植物饲养园, 玻璃容器
terrestrial	adj. 地球的；陆地的，[生物] 陆生的；人间的 n. 陆地生物；地球上的人
marina	n. (供游艇停泊的)小港，码头
aquamarine	n. 蓝绿色，海蓝宝石
mariner	n. 海员，水手
maritime	adj. 海的, 海上的, 海事的
pathos	n. 感伤, 悲怅, 悲情
apathetic	adj. 缺乏感情的, 缺乏兴趣的, 无动于衷的，冷淡的
empathy	n. n. 移情作用,共鸣, 执着投入，同理心
telepathic	adj. 精神感应的
penal	adj. 刑罚的，刑事的
impunity	n. 不受惩罚,无事,无患
penance	n. 自我惩罚，(赎罪的)苦行
punitive	adj. 刑罚的,惩罚的
maternity	n. 母性, 母道, 妇产科病房 adj. 孕妇的, 母性的
matriarch	n. 女家长, 高雅的老妇人
matrilineal	adj. 母系的
matrix	n. 母体,子宫 细胞 脉石,字母 n.矩阵
aquaculture	n. 水产业, 水产养殖
aquanaut	n. 海底(实验室)工作人员，水下作业员；深水操作人员
aqueduct	n. [建]高架渠, 渡槽，[解]导管
aquifer	n. 含水土层(含水量足以成为井水或泉水)
cereal	adj. 谷类(的),谷物(的) n. 谷类食物
junoesque	adj.高贵优美的
martial	adj. 军事的, 战争的
Promethean	adj. Prometheus 的，独创性的
sisyphean	adj.永远做不完的,徒劳的
titanic	n. 泰坦尼克（船名） adj. 巨大的；四价钛的
triton	n. 三重氢核 Triton n. [希神]特赖登(人身鱼尾的海神)
vulcanize	v. (使)硫化，(使)硬化
