cantata	n. [音]康塔塔，清唱剧
incantation	n. 诀语,咒语
cantor	n.（教堂或犹太教会堂唱诗班的）领唱者
descant	vi. 详论, 絮说 n. 详述，评论，高音部 =discant
linguistics	n. 语言学
multilingual	adj. 使用多种语言的
lingua franca	n. 通用语，佛兰卡语
linguine	n.(意大利)扁面条
spirited	adj. 精神饱满的, 活泼的, 英勇的
dispirit	vt. 使沮丧, 使气馁
respirator	n. 呼吸器
transpire	v.1. 使...蒸发,排出 2.泄露、为人所知 3.发生
verify	v. 查证,核实 n.[计算机] DOS命令 : 打开关闭在 DOS操作期间的写文件校验开关
aver	v. 极力声明,断言 vt.&amp;n. 断言
verisimilitude	n. 逼真, 逼真的事物
veracity	n. 说真实话,老实,诚实
turbid	adj. 混浊的, 泥水的, 浓密的
perturb	v. 扰乱,使混乱,使心慌
turbine	n. 涡轮
turbulent	adj.骚乱的，混乱的； 激流的，湍流的； 吵闹的； 强横的
voluble	adj. 健谈的，流畅的，易旋转的
devolve	v. 委任, 移交
evolution	n. 进化, 发展, 进展
convoluted	adj. 旋绕的, 费解的 动词convolute的过去式和过去分词
factor	n. 因素,因子 vt. 把…因素包括进去 vi.作为因素
factotum	n. 杂役, 打杂的人
facile	adj. 不费力的，温和的, 容易做到的
facilitate	vt. 帮助, 使...容易, 促进
lumen	n. 流明,内腔
luminous	adj. 发光的, 发亮的，清楚的，明白易懂的
bioluminescence	n. 生物体发光
luminary	n. 杰出人物, 名人，发光体 adj. 杰出的
muse	vi. 沉思，冥想 vt. 沉思默想 n. 沉思，（希腊神话）缪斯，指引方向的神，诗歌，
iridescent	adj. 虹彩色的(现晕光的,闪光的)
mausoleum	n. 陵墓
mentor	n. 指导者 vt. 指导
narcissism	n. 自我陶醉, 自恋
tantalize	vi. 逗惹，吊胃口, 令人可望而不可及 vt. 使着急
thespian	adj. 悲剧的, 戏剧的, (古希腊诗人)狄斯比斯的 n. 演员, 悲剧演员
zephyr	n. 西风, 和风, 徐风
