animated	adj. 生气勃勃的,栩栩如生的，动画片的
magnanimous	adj. 度量大的, 宽大的, 有雅量的，高尚的
animosity	n. 憎恶, 仇恨
inanimate	adj. 无生命的
figurative	adj. 比喻的, 形容多的, 修饰丰富的
configuration	n. 结构,布局,形态,格式塔心理完形 [计算机] 配置
effigy	n. 肖像, 雕像
figment	n. 虚构的东西
annuity	n. 年金, 养老金
superannuated	adj. 老朽的, 退休的，陈旧过时的 动词superannuate的过去式和过去分词形式
millennium	n. 一千年, 太平盛世
perennial	adj. 四季不断的, 继续多年的，永久的 n.多年生植物
coeval	adj. 同时代 n. 同时代的人
longevity	n. 长寿
medieval	adj. 中世纪的
primeval	adj. 原始的, 早期的, 远古的
corporeal	adj. 肉体的, 有形的, 物质的
corpulent	adj. 肥胖的
corporal	adj. 肉体的, 身体的 n. (陆军或空军)下士
incorporate	vt.组成公司； 包含； 使混合； 使具体化 vi.包含； 吸收； 合并； 混合
tact	n. 机智, 手法
tactile	adj. 触觉的, 有触觉的, 能触知的
tangential	adj.<正>间接相关的； 次要的； 外围的； 略为触及题目的
tangible	adj. 有形的, 可触摸的, 确凿的, 实际的
codex	n. 古抄本
codicil	n. 遗嘱的附录, 附录
codify	v. 编码，整理，编纂
decode	v. 解码, 译解 [计算机] 译码
signify	v. 象徵, 预示
insignia	n. 徽章, 袖章，标记
signatory	n. 签署者, 签约国
signet	n. 印，图章 vt. 在 ... 上盖小印章
quadrant	象限
quadrille	n. 四人用四十张纸牌玩的牌戏, 方舞, 其舞曲
quadriplegic	n. 四肢瘫痪者
quartile	n. 四分位数
tetracycline	n.四环素（抗生素的一种）
tetrahedron	n. 四面体
tetralogy	n. 四部曲，四联剧，四部剧，[医]四联症
tetrapod	n. 四角动物, 四角的结构
