capitalism	n. 资本主义
capitulate	vi. 有条件投降
decapitate	v. 斩首,杀头,开革
recapitulate	vt. 重述要点, 概括, 摘要 vi. 总结
anthropoid	adj. 像人类的, 类人猿的 n. 类人猿
anthropology	n. 人类学
misanthropic	adj. 厌恶人类的
lycanthropy	n. 把人化为狼的神通, 狼狂
kinesiology	n.[体]运动机能学
hyperkinetic	adj. [医]运动机能亢奋的, 运动过度的
kinescope	n.<主美>(电视)显像管,电视屏幕纪录片(电视节目的录象) vt.电视节目录影
telekinesis	n. 隔传动，隔地促动
dynamic	adj. 动态的, (有)动力的, (有)力的; 有活力的 n. 动力; 力学
dynamo	n. 发电机
aerodynamics	n. 空气动力学,气体力学
hydrodynamic	adj. 水动力学的，水力的，水压的
gradation	n. 灰度, 浓淡度, 渐变, 过度, 元音交替
degrade	vt. 贬低；使……丢脸；使……降级；使……降解 vi. 降级，降低；退化
gradient	n. 倾斜度,坡度,升降率 adj. 倾斜的,步行的,步行态的
retrograde	adj. 后退的, 倒退的, 退步的 vi. 倒退, 退步, 逆行 adv. 后退地
regimen	n. 养生法, 生活规则,训练课程，统治，制度
interregnum	n. 无王时期
regalia	n. 王权，王位的标志(如王冠等), (等级、社团等的)标记，徽章 n. 盛装，华服
regency	n. 摄政统治, 摄政期间，摄政者
criterion	n. 标准, 准则
critique	n. 批评,批评法,评论
hypercritical	adj. 苛求的, 吹毛求疵的
hematocrit	n.分血器,血球容积计
jurisprudence	n. 法律学, 法学
abjure	v. 发誓放弃
perjury	n. 伪誓, 伪证
de jure	adj. [法]根据法律的, 权利上的 adv. [法]根据法律, 权利上
pentathlon	n. 五项全能运动（跑步﹑骑马﹑游泳﹑击剑和射击）
Pentateuch	n. 摩西五书（希伯来圣经首五卷）
pentameter	n. 五音步格诗
Pentecostal	adj.[宗]五旬节的
quincentennial	adj. 第五百年的, 五百年的
quintessential	adj. 精粹的, 精髓的, 典型的
quintet	n. 五重奏, 五个一组
quintile	n. [天]五分之一对座(相隔72度)
