bionic	adj. 仿生学的, 仿生替代增强的
biopsy	n. 活组织检查
biodegradable	adj. 生物所能分解的
symbiosis	n. 共生, 共栖
genesis	n. 起源，发生 Genesis：《创世纪》（旧约圣经第一卷）
generator	n. 发电机, 发生器
genre	n. 类型,流派
carcinogenic	adj. 致癌的
functionary	n. 职员,负责人员,官员 adj. 机能的,作用的,职务的
malfunction	n. 故障 v. 发生故障, 不起作用
defunct	adj. 死的, 非现存的 [计算机] 无效
dysfunctional	adj. 机能失调的,功能障碍的
commute	vi. 交换,通勤,折偿 vt. 交换,减刑,改变付款方式 n. 乘车上下班,通勤
immutable	adj. 不可变的,不变的,不能变的
permutation	n. 交换, 排列
transmute	v. 使...变形，经历变化
fractious	adj. 易怒的, 脾气不好的, 难以对待的
fractal	n 不规则碎片形
infraction	n. 违反，违法
refraction	n. 折光, 折射
telegenic	adj. 适于拍电视的(适于上电视镜头的)
teleological	adj. [哲]目的论的 =teleologic
telemetry	n. 遥感勘测，自动测量记录传导
telecommute	vi. (在家里通过使用与工作单位连接的计算机终端)远距离工作
oenophile	n. 嗜酒的人, 酒的行家, 酒品尝家
philatelist	n. 集邮家
Anglophile	n. 亲英派的人 =Anglophil
philanthropy	n. 博爱主义，善心，慈善事业, 慈善机构
negligent	adj. 疏忽的, 粗心的, 不在意的
abnegation	n. 克己，自制，放弃
negligible	adj. 可以忽略的,微不足道的
renege	v. 背信, 违约
decalogue	n. [圣经]十诫
decathlon	n. 十项运动(体育比赛)
decibel	n. 分贝（音量的单位）
decimate	vt. 十中抽一(取...的1/10,毁灭...的大部分)
centenary	n. 一百年 adj. 一百年的
centigrade	adj. 分为百度的,摄氏的
centimeter	n. 厘米，公分
centurion	n. 百夫长（古罗马军团的百人队指挥官）
