kleptomania	n. 盗窃癖
dipsomaniac	n. 耽酒狂之人
megalomaniac	adj. 夸大狂的 n. 夸大狂患者
egomaniac	n. 极端利己主义者，极端自我主义者，自大狂
psyche	n. 精神，心灵，灵魂 Psyche：[希神]塞姬（爱神丘比特所爱的美女）
psychedelic	adj. 引起幻觉的 n. 迷幻药
psychosomatic	adj. 身心的；身心失调的；身心治疗的 n. 身心上有病的人
psychotherapist	n. 精神治疗医师
reception	n. 接待,招待会,接收,欢迎,接受
intercept	n. 截取,妨碍,截距 v. 拦截,阻止,截取 [计算机] 截断
perceptible	adj. 可察觉的, 能感觉得到的, 看得见的
susceptible	n. 易受影响者,易受感染者 adj. 易受影响的,易感动的,容许
confine	vt. 限制,闭居 n. 边界, 约束, 范围, 限制
definitive	adj. 决定性的，权威性的，确定的，限定的 n. 限定词
finite	adj. 有限的
infinitesimal	adj. 极小的,极微的,无限小的 n. 极小量,极微量,无限小
interject	v. 插话
conjecture	v.&amp;n. 推测,臆测
projection	n. 发射，计划，突出部分
trajectory	n. 轨道,弹道,轨线
traction	n. 拖，拽，牵引,牵引力，附着磨擦力
retract	vt. 缩进(拉回,退回,取消) n. 收缩核
protracted	adj. 拖延的
intractable	adj. 不听话的, 倔强的, 棘手的
conducive	adj. 有助于...的
deduction	n. 减除(额), 推论
induce	vt. 引诱,导致,催生
seduction	n. 勾引，引诱，诱惑，诱奸
subsequent	adj. 随后的,后来的
consequential	adj. 作为结果的(引出重要结果的, 自高自大的)
non sequitur	n. 不合理的推论或结论
Apollonian	adj. 阿波罗神的，阿波罗崇拜的，具有古典美的
bacchanalian	adj. 酒神节的, 狂饮作乐的 n. 发酒疯的人
Dionysian	adj. 酒神节的, 狂饮的
jovial	adj. 快活的, 高兴的, 愉快的
mercurial	adj.（指人）反复无常的； 水银的； （指人或性质）灵活的； 易变的
Olympian	n.<主美>奥运会选手 adj.奥林山神的,庄严的
venereal	adj. 性病的, 性交的, 因性交而传染的
sequential	adj. 连续的(序贯的)
delphic	adj.(阿波罗)神谕的,意义不明确的,暧昧的
