nominal	adj. 名义上的,有名无实的,名词性的 n. 名词词组
nomenclature	n. 命名法, 专门语, 术语
ignominious	adj. 可耻的,不名誉的,下流的
misnomer	n. 误称
patrician	adj. 贵族的, 显贵的 n. 贵族
patriarchy	n. 家长政治, 父系社会
expatriate	n. 移居外国者 vt. 逐出国外,脱离国籍,放逐 vi. 移居国外
paternalistic	adj. 家长作风的
legate	vt. 当做遗产让与 n. 罗马教皇的使节, 特使, 使节
legacy	n. 祖先传下来之物,遗赠物 adj. [计算机]旧系统的
delegation	n. 代表团，委派,，授权
relegate	v. 使降级，流放 ，移交，委任
aggregate	n. 合计, 总计, 集合体 adj. 合计的, 集合的, 聚合的 v. 聚集, 集合, 合计
congregation	n. 集合, 会合
egregious	adj. 恶名昭彰的, 过份的，非常的
segregate	adj. 分离的, 被隔离的 v. 分离, 隔离, 分凝
affluence	n. 富裕
effluent	adj. 流出的 n. 流出物,由河,湖等流出之水流
confluence	n. 合流, 合流点, 集合
mellifluous	adj. 如蜜般的, 流畅的 =mellifluent
prehensile	adj. 可以抓住的，可以掌握、领悟的
apprehend	v. 理解, 忧虑 逮捕, 拘押
comprehend	vt. 充分理解(综合,包含)
reprehensible	adj. 应斥责的,应该谴责的
temper	n. 脾气；（钢等）回火；性情；倾向 vt. 使回火；锻炼；调和；使缓和 vi. 回火；调和
temperance	n. 1. 节制(尤指饮食)；节欲 2. 戒酒
intemperate	adj. 无节制的, 放纵的
distemper	n. 胶画，胶画法, 胶画颜料；坏脾气，犬热病，温热（动物疾病）
purge	n. 整肃,清除,泻药,净化 vt. 净化,清除,摆脱 vi. 清除,通便,腹泻,变得清洁
expurgate	vt. 净化, 删去
purgative	n. 泻药 adj. 催泻的
purgatory	n. 灵魂的净化, 涤罪, 炼狱 adj. 涤罪的
millipede	n. 百足虫, 马陆
millenarianism	n. 千福年说(传说耶稣将重临人世统治的一千年), 信千福年, 太平盛世
millisecond	n. 毫秒, 微妙
semitone	n. [音]半音, 半音程
semicolon	n. 分号
hemiplegia	n. 偏瘫, 半身不遂
semiconductor	n. 半导体
