subconscious	adj. 潜意识的，下意识的 n. 潜意识
subjugate	vt. 征服, 使服从, 抑制
subliminal	adj. 下意识的,识阈的,潜在意识的
subversion	n. 颠覆, 破坏
hyperactive	adj. 极度活跃的
hyperbole	n. 夸张法
hypertension	n. 高血压, 过度紧张
hyperventilate	v. 换气过度; 强力呼吸
preclude	vt. 排除；妨碍；阻止
precocious	adj. 早熟的
predispose	v. (使)易罹患, (使)预先偏向于
prerequisite	n. 先决条件 adj. 作为前提的, 必备的
paraphrase	n. 释义, 解述, 改写 v. 改写, 解述
paralegal	adj. 辅助律师业务的 n. 律师的专职助手, 律师帮办
paramedic	n. 护理人员
paramilitary	adj. 准军事性的,起军事辅助作用的
metadata	n. [计]元数据
metaphorical	adj. 隐喻性的, 比喻性的
metaphysics	n. 形而上学, 玄学
metonymy	n.转喻
percolate	v. (使)过滤，(使)渗透 n. 渗出液
pervade	v. 弥漫, 遍及, 漫延
permeate	v. 弥漫, 渗透, 普及
persevere	v. 坚持, 孜孜不倦, 不屈不挠
antagonist	n. 敌手, 对手，[医]对抗剂,[生理]对抗肌
antigen	n. [医] 抗原
antipathy	n. 憎恶, 反感
antithesis	n. 对照, 正相反, 对比法
contraband	n. 违禁品, 走私品
contraindication	n. 禁止徵候
contravene	vt. 违反(同...相抵触,否定)
magnum opus	n. &lt;拉&gt; (文学, 艺术之)杰作, (艺术家的)代表作
memento mori	n.死的象征
habeas corpus	n. 人身保护权
rigor mortis	n.[医]尸僵,死后僵硬
sine qua non	n. 必要条件，要素
tabula rasa	n. 空白的心灵状态，白板
terra incognita	n. [拉]未发现的地域, (知识上的)未知领域
contrarian	adj. 与他人意见相反的人，逆向投资者
