acerbic	adj. 酸的(尖酸刻薄的)
acrid	adj. 苦味的, 辛辣的, 尖刻的
acrimony	n. (语言，态度等)刻薄，辛辣
exacerbate	vt. 加重(使...恶化, 激怒)
stricture	n. 苛评, 非难，限制 n. [医]狭窄
restrictive	adj. 限制的, 拘束的, 限定的 n. 限定辞
constrict	v. 压缩, 束紧, 使收缩
vasoconstrictor	adj. 血管收缩 n. 血管收缩神经
deconstruction	n. 解构，拆析(文学评论用语，指找出文本中自身逻辑矛盾或自我拆解因素，从而摧毁文本在人们心目中的传统建构)
infrastructure	n. 下部构造, 下部组织, 基础结构, 基础设施
construe	v. 解释, 翻译 vt. 解释
instrumental	adj. 仪器的,器具的,可做为手段的
proprietary	adj. 专利的, 所有权的 n. 所有权, 所有人
propriety	n. 适当，正当，得体 (复数）proprieties:礼节，礼仪
appropriate	adj. 适当的, 相称的 vt. 拨出(款项); 占用
expropriate	vt. 使充公, 没收，剥夺
tort	n. 民事过失, 侵权行为
extort	vt. 勒索, 敲诈, 强要
contort	v. (使)扭曲 vt. 扭曲
tortuous	adj. 弯曲的, 曲折的，转弯抹角的
vivacious	adj. 活泼的
bon vivant	n. 喜锦衣玉食者
revivify	vt. 使复生, 使复活, 使振奋精神
vivisection	n. 活体解剖
serviceable	adj. 可用的，易于服务的，有用的, 耐用的
servile	adj. 卑屈的, 奴隶的
servitude	n. 苦役, 奴役 n. [法]役劝
subservient	adj. 卑屈的, 奉承的，次要的, 从属的
occlusion	n. 闭塞，吸收，吸藏
exclusive	adj. 独占的, 唯一的, 排外的; 高价的, 时髦的 [计算机] 互斥的 n. 独家新闻, 独权
recluse	adj. 隐居的 n. 隐士
seclusion	n. 隔离(隔绝)
acme	n. 顶点, 极点
catharsis	n. 洗涤, 净化, 精神发泄
colossus	n. 巨大,巨型雕像
detritus	n. 碎石, 碎屑, 瓦砾
hoi polloi	n.民众,大众
kudos	n. 名声, 光荣, 荣誉
onus	n. 负担, 义务，耻辱
stigma	n. 耻辱, 污名 n. 柱头
