textual	adj. 本文的, 原文的
context	n. 上下文, 环境,背景
hypertext	n. 超文本
subtext	n. 潜在的意思, 潜台词
placate	v. 抚慰,和解,怀柔
placebo	n. 安慰剂，安慰话
placidity	n.平静
implacable	adj. 难宽恕的, 难和解的, 执拗的
automation	n. 自动化
autoimmune	adj. 自身免疫的
autonomy	n. 自治
autism	n. 孤独症, 自我中心主义, 自闭症
gratify	v. 使满足，使高兴 v. 酬劳，回报
gratuity	n. 赠物,赏钱,贺仪
gratuitous	adj. 免费的, 无缘无故的
ingratiate	vt. 逢迎, 讨好
clamor	n. 喧闹,叫嚷,大声的要求 v. 喧嚷,大声的要求
acclamation	n. 欢呼
declaim	v. 高谈阔论, 雄辩, 大声说
proclaim	vt. 正式宣布, 公布, 声明, 赞扬, 显示出
aristocrat	n. 贵族，有贵族气派的人，最优秀者
autocratic	adj. 独裁的, 专制的, 独断专行的
bureaucrat	n. 官僚作风的人, 官僚, 官僚政治论者
plutocracy	n. 富豪统治集团，财阀统治
punctilious	adj. 精密细心的, 一丝不苟的，谨小慎微的
punctual	adj. 严守时刻的,准时的,正点的
compunction	n. 良心的责备, 后悔, 悔恨
acupuncture	n. 针灸,针治 v. 施以针灸
potential	adj.潜在的，有可能的； [语法学]可能语气的，表示可能性的； 有能力的 n.潜力，潜能； [物]电位，势能； 潜能的事物； [语]可能语气
impotent	adj. 无力的, 无权能的，性无能的
plenipotentiary	adj. 有全权的 n. 全权代表
potentate	n. 有权的人, 有势力的人, 统治者
ambrosia	n. 神的食物, 特别美味的食物
dogma	n. 教条，信条
gratis	adj. 免费的 adv. 免费
eureka	int. 找到了! 有了！ Eureka n. 尤里卡（加利福尼亚西北部一城市）
per se	（固定词组）本身
opus	n. 著作(艺术作品,乐曲)
impetus	n. 动力,推动力
thesis	n. 毕业论文, 论题, 论文
