verbose	adj. 用字多的,冗长,冗赘的
proverb	n. 谚语, 格言 vt. 用谚语表达
verbatim	adj. 逐字的 adv. 逐字地
verbiage	n. 多废话,多冗词,冗长
simile	n. 直喻, 明喻
assimilate	v. 使同化，吸收 n. 被同化的事物
simulacrum	n. (模糊)影像，模拟物
simulate	v. 假装,冒充,模仿,模拟
transcend	v. 超越
condescend	vi. 屈尊，俯就，怀着优越感对待
descendant	n. 子孙, 后代
ascendancy	n. 统治权, 支配力量
antonym	n. 反义词
eponymous	adj. 使得名的，齐名的
patronymic	adj. 取自父名的， n. 源于父名的姓
pseudonym	n. 匿名, 假名, 笔名
conscription	n. 征兵, 募兵
circumscribe	vt. 在...周围画线, 限制
inscription	n. n. 题字, 碑铭，铭文
proscribe	vt. 不予法律保护(排斥)
fallacy	n. 谬论
fallacious	adj. 使人误解的, 谬误的, 不合理的
fallibility	n. 易错, 易误, 不可靠
infallible	adj. 绝无错误的, 绝对可靠的
soluble	adj. 可溶解的，可解决的
absolution	n. 免罪, 赦罪
dissolution	n. 分解
resolute	adj. 坚决的, 果断的
hydraulic	adj. 水力的, 水压的
dehydrate	v. （使）脱水, （使）干燥
hydroelectric	adj. 水力电气的
hydroponics	n.水耕法,水栽培
aegis	n. 宙斯盾, 保护, 庇护，资助
charisma	n. 非凡的领导力,教祖般的指导力,神授的能力
ego	n. 自我, 自负, 自尊心
ethos	n. 民族精神，道德风貌，思潮信仰
hubris	n. 傲慢, 骄傲
ID	n. 私我，本我 abbr. 身份证（=identification）
libido	n. 欲望, 性的冲动, 生命力
trauma	n. 精神创伤,外伤
