muralist	n.壁画家
intramural	adj. 校内的，同一组织内的，&lt;解剖&gt;壁内的
extramural	adj. 城墙以外的, 市外的, 单位以外的
immure	vt. 监禁, 禁闭
politic	adj. 精明的, 圆滑的, 慎重的 adj.
politicize	vt. 使 ... 政治化
acropolis	n. 城堡, 雅典的卫城
megalopolis	n. 特大都市
numerology	n. 命理学
alphanumeric	adj. 字母数字的
enumerate	v. 列举,计算,枚举 [计算机] 枚举
supernumerary	adj. 超出的，多余的 n. 多余的人或物, 冗员
kilobyte	n. [计]千字节(1024字节)
kilometer	n. =kilometre 公里，千米(略作km)
kilohertz	n.千赫
kilogram	n. 千克, 公斤
microbe	n. 微生物
microbiologist	n. 微生物学家
microbrew	n. 微酿啤酒; 微酿
microclimate	n. 微气象
multicellular	adj. 多细胞的
multidisciplinary	adj.包括各种学科的，有关各种学问的； 多学科； 多部门； 多科目
multifarious	adj. 多种的, 各式各样的
multilateral	adj. 多边的, 多国参加的
parity	n. 相等,势均力敌,等值
disparity	n. 不一致
nonpareil	adj. 无法匹敌的 n. 无法匹敌的人，粘有糖粒的扁圆巧克力
subpar	adj. 不够标准的，在平均水平以下的
acrophobia	n. 高处恐怖症
agoraphobia	n. 广场恐惧症, 旷野恐惧症
xenophobe	n. 仇外, 惧外者
arachnophobia	蜘蛛恐怖，恐蜘蛛症
hemorrhage	n. 出血, 溢血
hematology	n. 血液学
hemophilia	n. 血友病
hemoglobin	n. 血红蛋白
bursitis	n.[解,动]粘液囊炎
hepatitis	n. 肝炎
bronchitis	n. 支气管炎
tendinitis	n. [医]腱炎 =tendonitis
