nanotechnology	n. 纳米技术
nanosecond	n. 毫微秒，极短的时间
nanoparticle	n. 纳米颗粒
superfluous	adj. 多余的，过剩的
insuperable	adj. （困难）难以克服的，不可逾越的
supersede	vt. 取代,接替,使放在一边
superlative	adj. 最上的, 无比的, 过度的 n. 最高级的言辞, 极致, 完璧
debase	v. 贬低, 贬损，（使货币）贬值
defamation	n. 诽谤, 中伤
degenerative	adj. (疾病)变性的
dejection	n. 沮丧, 颓丧，[医]排泄，排粪
null	adj. 无效力的,无效的,无价值的 n. 零 [计算机] 空 vt. 使无效
nullity	n. 无效, 无足轻重
nullify	v. 使无效, 废弃, 取消
annulment	n. 废除，取消，宣告婚姻无效
armada	n. 舰队，机群，（车辆）编队
armistice	n. 休战, 休战书, 停战条约
armory	n. 军械库, 兵工厂
disarming	adj. 消除敌意的，解除疑虑的 动词disarm的现在分词形式
upsurge	v. 起浪,涌起 n. 涌起,高潮
insurgency	n. 起义，暴动, 造反
counterinsurgency	n. 镇压叛乱(暴动), 反破坏 adj. 反游击战与破坏的
resurgent	adj. 再起的,复活的
stratum	n. 地层, 阶层
stratification	n. 成层，成层法
substrate	n. 基片(基层, 真晶格, 基质) n. 衬底
stratocumulus	n.[气]层积云
lateral	adj. 侧面的,横向的,旁边的 n. 分流,后传,后音 vi. 完成横向穿越
bilateral	adj. 双边的
collateral	adj. 并行的,附随的,旁系的 n. 支亲,副保,附属担保物
equilateral	adj. 等边的, 等面的
appendectomy	n. 阑尾切除术
gastrectomy	n.胃切除术
tonsillectomy	n. 扁桃腺切除术
mastectomy	n. 乳房切除术
iatrogenic	adj.因医生的治疗而引起的
geriatric	n. 衰老老人 adj. 老年医学的，老人的
podiatrist	n. 脚病医生
