necrosis	n. 坏疽，脱疽，骨疽
necromancer	n. 巫师
necropolis	n. 公墓
necropsy	n. 尸体剖解 vt. 验尸
paleolithic	adj. 旧石器时代的
paleography	n. 古文字学
paleontology	n. 古生物学
Paleozoic	adj. 古生代的 n. 古生代，古生层
circuitous	adj. 迂回的路的,迂曲的,绕行的
circumference	n. 圆周, 周围, 胸围
circumspect	adj. 细心的, 慎重的
circumvent	vt. 围住,绕行,用计谋应付
minimalism	n. (艺术)极简主义
minuscule	n. 草写小字,小写字 adj. 草写小字的,小写字的
minutiae	n. 细枝末节，琐事 名词minutia的复数形式
diminutive	adj. 小的, 小型的, 变小的 n. 小的人（物）, [语]小词缀，昵称
intercede	v. 仲裁, 说项
interstice	n. 细裂缝, 空隙
interdict	vt. 禁止, 停止, 阻断 n. [法]禁令
interpolate	vt. 加入(额外的事), 窜改，插话
surmount	vt. 克服, 越过，登上...最高点
surcharge	n. 装载过多, 额外费
surfeit	n. 过食，过量 v. 暴食，过分沉溺
surreal	adj. 超现实的, 离奇的
coalesce	v. 合并, 联合, 接合
cogeneration	n. 废热发电
codependency	n. 互相依赖，互相依存
cohesion	n. 凝聚力, 团结
syntax	n. 句法
synthesize	v. 合成
synergy	n. 增效作用,协同作用
syndrome	n. 综合征，综合症状；（不良情况的）典型表现，典型行为
Adonis	n. 阿多尼斯（美男子）
Amazon	n.亚马逊河,亚马逊(女战士)
chimera	n. 神话怪物，妄想 n. 嵌合体 Chimera: [希神]奇美拉（喷火女怪）
cornucopia	n. [希神]哺乳宙斯的羊角, 满装花果象征丰饶的羊角(通常用于绘画或雕刻中), 丰富, 丰饶
Elysium	n. 极乐世界,至福之境
epicure	n. 美食家, 老饕
exodus	n. 大批的离去 Exodus：（《圣经·旧约》中的）出埃及记
gorgon	n. 丑陋女人 Gorgon n. [希神]戈耳工(蛇发女怪)
