carnivorous	adj. 食肉的，（植物）食虫的
herbivorous	adj. 食草的
insectivorous	adj. 以虫类秽食物的，食虫的，食虫动植物
voracious	adj. 狼吞虎咽的, 贪婪的
carnage	n. 大屠杀, 残杀
carnal	adj. 肉体的，世俗的
incarnate	vt. 体现(使...具体化) adj. 化身的(人体化的)
reincarnation	n. 再赋与肉体,化身,再生
credence	n. 相信, 祭器台, 供桌
credible	adj. 可信的, 可靠的
credulity	n. 轻信, 易信
credo	n. 信条
affidavit	n. 宣誓书
diffident	adj. 无自信的, 客客气气的, 羞怯的
fiduciary	adj. 受托的, 信托的
perfidy	n. 不诚实, 不忠
concurrent	adj. 同时发生的
cursory	adj. 匆匆忙忙的, 草率的, 粗略的
discursive	adj. 散漫的, 无层次的
precursor	n. 先驱者,前导,先进者
quadruped	n. 四足兽 adj. 四足的
pedigree	n. 家谱，系谱，血统，(动物的)种 adj. 纯种的
impediment	n. 障碍(障碍物,行李,辎重)
pedestrian	adj. 徒步的,缺乏想像的 n. 行人
deflect	vt. 使转向；使偏斜；使弯曲 vi. 转向；偏斜
reflective	adj. 反射的,反映的;沉思的 adj. 【语】反身的
genuflect	vi. 曲膝, 跪拜(尤指做宗教仪式时)，屈从
inflection	n. 屈曲, 变调, 音调变化
posterior	adj. (在时间,次序上)较后的 n.臀部
posthumous	adj. 死后的；遗腹的；作者死后出版的
postmodern	adj. 后现代主义的
postmortem	adj. 死后的，事后的 n. 尸体检查, 验尸
calypso	n. 卡力骚曲 n. 匙唇兰 Calypso n. [希神]卡吕普索(海之女神)
odyssey	n.远行，长途冒险旅行 n.奥德赛(希腊史诗)
palladium	n. [化]钯 n. 守护神
Penelope	n. 佩内洛普(女子名) n. [希腊神话]奥德修斯的妻子，忠贞之妻子
procrustean	adj. 强求一致的
protean	adj. 多变的,千变万化的,变化不定的
sibyl	n. 女预言家, 女先知
siren	n. 汽笛, 警报器
