malevolent	adj. 有恶意的, 恶毒的
malicious	adj. 怀恶意的, 恶毒的
malign	adj. 有害的, 恶性的, 有恶意的 vt. 诽谤, 说坏话
malnourished	adj. 营养不良的 动词malnourish的过去式和过去分词
cataclysm	n. 大洪水, 地震, (社会政治的)大变动
catacomb	n. 地下墓穴, 茔窟
catalyst	n. 催化剂,刺激因素
catatonic	n. 紧张性精神症患者 adj. 紧张性精神症的
protagonist	n. 主角，主演；主要人物，领导者
protocol	n. 草案, 协议,礼仪 vt 拟定议定书
protoplasm	n. 原生质，原浆
prototype	n. 原型,雏形
antechamber	n. 前堂, 前厅, 接待室
antedate	vt. 使...提前发生, 先于, 预料 =predate n. 比实际早的日期
antecedent	n. 前情, 先行词 adj. 在...之前的, 居先的
anterior	adj.前面的，前部的，较早的
orthodontics	n. 畸齿矫正学
orthodox	adj. 正(传)统的
orthopedics	n. 矫形术
orthography	n. 正确拼字, 拼字, 正字法
rectitude	n. 诚实, 正直
rectify	vt. 订正,矫正,改正
rectilinear	adj. 直线的，用直线围着的
directive	adj. 指导的, 指挥的, 管理的 n. 指令 [计算机] 指令
eugenic	adj. 优生（学）的, 优种的
euphemism	n. 婉言, 委婉的说法
euphoria	n. 幸福愉快感
eulogy	n. 颂词, 颂扬, 悼词
dystopia	n. 糟透的社会；地狱般的处境；非理想化的地方
dyslexia	n. 阅读障碍
dyspeptic	adj. 消化不良的, 胃弱的, 患胃病的
dysplasia	n. [医]发育异常
a fortiori	更加
a priori	先验的，推理的，假定的
bona fide	adj. 真诚的, 无欺的，名副其实的
carpe diem	&lt;拉丁&gt;及时行乐 =seize the day
caveat emptor	n. [商]购者自慎(货物出门概不退换，买主须自行当心)
corpus delicti	n.犯罪事实
curriculum vitae	n. 履历, 简历
