equable	adj. 平静的, 变动小的
adequacy	n. 足够，适当
equilibrium	n. 平衡,均衡
equinox	n. 昼夜平分点, 春分或秋分
inquisition	n. 调查, 询问, (罗马天主教的)宗教法庭
perquisite	n. 额外补贴, 临时津贴
acquisitive	adj. 想获得的, 贪得的
requisition	n. 请求,强求,征用； v.要求，命令，征用； n. 【律】引渡要求
plenary	adj. 充分的，完全的，全体出席的
complement	n. 补语；余角；补足物；补体 vt. 补足，补助
deplete	vt. 耗尽,使...空竭
replete	adj. 饱满的, 塞满的
metric	adj. 公制的,米制的,十进制的 n. 度量标准,公制,米制,十进制
meter	n. 公尺,韵律,计量器 vt. 用表测量[计量, 记录]
odometer	n. 里程表
tachometer	n.转速计,流速计
auditor	n. 听者, 收听者, 稽核员
auditory	adj. 听觉的 n. 观众，观众席
audition	n. 听, 听力, 试听 vi. 试演，试唱，试音 vt. 对（某人）面试；让（某人）试演（或试唱、试音）
inaudible	adj. （因声音低）听不见的
sonic	adj. 音波的,音速的
dissonant	adj. 不谐和的, 刺耳的, 不调和的
resonance	n. 共鸣, 共振, 洪亮
ultrasonic	adj. 超声波的
errant	adj. 错误的，脱离正途的，漫游的
aberrant	adj. 脱离正道的, 脱离常轨的, 变体的，畸变的
erratic	adj.飘忽不定的； 行为古怪，反复无常； （运动或行为）不规则的
erroneous	adj. 错误的, 不正确的
cede	v.割让(领土，权利) v. 放弃
concede	vt. 承认,给予 vi. 让步
accede	vi.同意，就职，加入
precedent	adj. 在前的,在先的 n. 先例,前例
Croesus	n. 大富豪, 大财主
Hades	n.冥府,地狱,阎王
lethargic	adj. 迟钝的(不活泼的,冷淡的,困倦的,昏睡的)
Midas touch	ph. 点物成金术, 挣钱的本领(这个故事与中国人熟悉的点金石或点金指的神化传说有异曲同工之妙)
Pyrrhic victory	n. -ries 付出极大代价而获得的胜利; 惨胜
Stygian	adj. 地狱的, 阴暗的, 幽暗的，冥河的
