vista	n. 街景, 展望, 回想
vis a vis	对面，相对
visionary	adj. 幻影的, 幻想的,有远见卓识的 n. 空想家, 梦想者，预言家
envisage	vt. 想像，设想; 正视，面对; 观察，展望
aspect	n. 方面, 外貌, 外观; 方位, 方向
prospect	n. 景色, 希望, 展望 v. 探勘, 寻找
perspective	n. 远景, 看法, 透视 adj. 透视的
prospectus	n.内容说明书； （即将出版的书等的）内容介绍，简介； 计划书，意见书； （讲义等的）大纲
equivocate	vi. 说模棱两可的话，支吾其词
irrevocable	adj. 不能唤回的, 不能取消的, 不能变更的
advocate	vt.提倡； 拥护； 鼓吹； 为…辩护 n.（辩护）律师； 提倡者； 支持者
vociferous	adj. 大声疾呼的；喧嚣的；大叫大嚷的
phonics	n. 看字读音教学法, 声学, 语音学
phonetic	adj. 语音的，语音学的
polyphonic	adj. [语]多音的, [音]有韵律变化的, 复调的 =polyphonous
cacophony	n. 刺耳的声音，杂音
curative	adj. 治病的, 有治病效力的 n. 医药, 治疗药
curator	n. 管理者(馆长)
procure	vt. 获得, 取得, 促成 vi. 拉皮条
sinecure	n. 挂名职务，闲差事 n.
perimeter	n. 周长, 周界, 边缘
periodontal	adj. 牙周的, 齿根膜的
peripatetic	n. 巡行者, 巡游 adj. 巡游的，漫游的 Peripatetic: n. 亚里士多德信徒 adj. 亚里士多德学派的
peripheral	adj. 不重要的,外围的 n. 外围设备
sensor	n. 传感器，探测器
desensitize	vt. 减少感光性，使不敏感
extrasensory	adj. 超感官的
sensuous	adj. 感觉上的, 感觉的, 激发美感的
sophistry	n. 诡辩
sophisticated	adj. 复杂的；精致的；久经世故的；富有经验的 v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）
sophomoric	adj. 一知半解的，（大学）二年级学生的
theosophy	n.[宗]见神论,接神论,接神学
Achilles heel	n. 艾基利斯的脚后跟，弱点，要害(来自希腊神话)
Arcadia	n. 世外桃源 Arcadia n. 阿卡迪亚(古希腊一山区) n. 阿卡迪亚(美国加利福尼亚州南部的一座城市)
Cassandra	n. [希神]卡珊多拉(特洛伊女预言家) n. 凶事预言家，不为人所信的预言家
cyclopean	n. 乱石堆 adj. 巨大的(蛮石的, 镶嵌状的)
draconian	adj. 严峻的, 苛刻的
myrmidon	n. 官员
nemesis	n. 报应, 给与惩罚的人, 天罚 Nemesis: n. [希神]复仇女神
trojan horse	(希腊神话中)特洛伊木马
