adherent	n. 信徒, 追随者, 拥护者 adj. 附着的, 粘连的
cohere	v. 附着, 粘合, 凝聚
incoherent	adj. 不连贯的, 语无伦次的
inherent	adj. 内在的, 固有的
centrifugal	adj. 离心的
refuge	n. 避难(处), 庇护(所) v. 庇护, 避难(所)
fugue	n. [音]赋格曲，[精神病学]神游症
subterfuge	n. 遁辞, 藉口, 托辞
cosmos	n. 宇宙 (复数）cosmos或cosmoses:大波斯菊
cosmology	n. 宇宙学, 宇宙天体学
microcosm	n. 小宇宙，微观世界，缩影
cosmopolitan	adj. 世界性的, 久经世故的
conscientious	adj. 审慎正直的,认真的,本着良心的
nescience	n.无知
prescient	adj. 有先见之明的
unconscionable	adj. 不合理的, 没有条理的, 过度的
juncture	n. 接合, 连接, 接缝
adjunct	n. 附属物, 附件, 修饰语
disjunction	n. [计]析取, 分离, 分裂
conjunct	adj. 结合的，共同的 n. 结合物
bipartite	adj. 由两部组成的，有两份的，分开为二的
impartial	adj. 公平的, 不偏不倚的
participle	n. 分词
partisan	adj. 效忠的, 献身的, 盲目推崇的，党派性的 n. 党羽, 同党的人, 游击队员
mission	n. 任务,代表团,使命,传教 vt. 传教 [计算机] 使命
missionary	n. 传教士, 负有任务者, 工作人员 adj. 传教的, 负有使命的
emissary	n. 密使, 特使
transmission	n. 传输, 播送, 变速器, 传递的信息
compel	v. 强迫,迫使
expel	vt. 驱逐,逐出,开除
impel	v. 驱使, 逼迫
repel	v. 逐退, 使...厌恶, 反驳
arachnid	n. 属于蜘蛛类的节肢动物
calliope	n. (希腊神话)司雄辩和叙事诗的女神, 气笛风琴, 并笛
dryad	n. 森林的精灵
fauna	n. （某地区或某时期的）所有动物
flora	n. 植物, 群落 （大写）Flora：[罗神]花神弗洛拉，弗洛拉（女名）
herculean	adj. 力大无比的，极费力的 Herculean adj. [希神]赫拉克勒斯的
Pandora's box	n. 潘多拉盒子，灾难之源
